Timestamp,ID,Please indicate your relevant departmental affiliation. Check all that apply.,Your current occupation at the university,How many computer science courses (undergrad or grad) have you taken?,What are your previous computer science experiences? List course names.,What programming languages do you have experience with? Check all that apply.,What are your previous statistics experiences? List course names.,"What other courses have you taken that require computer programming (e.g. R, GIS, SPSS, STATA, SAS, MatLab, Mathematica, MARK, etc.)? List course names.",What operating system is on the computer you are bringing to the workshop?,Have you participated in independent or collaborative research outside the classroom?,"If so, how much? Check all that apply.",Do you have experience collecting your own data? Check all that apply.,"If you have collected your own data, how did you choose to store it? Check all that apply.",What is your most important reason for attending this workshop? Check all that apply.,What resources have you used while learning to program in R? Check all that apply.,"In a few words, what do you hope to learn from this workshop?"
2018-10-01,0duwil,Ecology and Environmental Science,Doctorate,2,ArcGIS,Other;None,"none, STAT 511","ArcGIS, Field Ecology",Apple/Mac OS/Unix,Yes,A few projects,"Yes, I've helped others collect data",Microsoft Excel,Research assistance;Adviser recommended;Department/Professor recommended,Peers;Lab Mates;Course Materials;Internet Resources,"The language of R, how to use it for my own research purposes"
2018-10-01,0mcvil,Land Rehabilitation,Bachelors,0,NA,Python,216,"Environmental Biophysics, GIS",Windows,Yes,A few projects,"Yes, I've helped others collect data",Microsoft Excel,Research assistance;Preparation for graduate school,Peers;Lab Mates;Adviser;Course Materials;Internet Resources,Good workflows and data analysis principles
2018-10-01,0legol,Ecology and Environmental Science,Doctorate,0,none,None,"statistical inference I and II, biological sampling, Statistical analysis with R","population ecology, conservation biology",Windows,Yes,A few projects,"Yes, I've collected my own data",Microsoft Excel,Research assistance;Received an email or saw a flyer about the workshop.,Peers;Course Materials,"to learn new methods or review methods I've been briefly exposed to for data organization, analysis, etc"
2019-2-01,0refer,Biochemistry,Doctorate,1,None,None,None,None,Apple/Mac OS/Unix,Yes,A few projects,No,Microsoft Excel;Text file,Preparation for graduate school;Department/Professor recommended,Peers;Lab Mates;Course Materials,"The proper use of If, Then,"
2019-2-01,NA,LRES,Master's,0,NA,None,STAT401,STAT511 and WILD 501,Apple/Mac OS/Unix,Yes,Little to No,"Yes, I've collected my own data",Microsoft Excel,Research assistance,Adviser,knowing how to do those functions in R
2019-2-01,0mabea,Fish and wildlife management,Bachelors,0,NA,None,Stat 216,None,Windows,Yes,Little to No,No,NA,Research assistance,Lab Mates,As much as I can about R
2019-2-01,0mamec,Land Rehabilitation,Master's,1,None,Other,STAT 511,"STAT 511, GIS",Apple/Mac OS/Unix,Yes,A few projects,"Yes, I've collected my own data",Microsoft Excel,Research assistance;Coursework assistance,Peers;Lab Mates;Course Materials;Internet Resources,A better understanding of how to compare my data.
2019-2-01,1bogla,Health Sciences,Master's,0,NA,None,"STATS 215, STATS 511",none,Apple/Mac OS/Unix,Yes,A few projects,"Yes, I've helped others collect data",Microsoft Excel,Research assistance;Coursework assistance,Peers;Course Materials;Internet Resources,greater familiarity with R
2019-2-01,0wagra,Postdoctor,Post-Doctorate,0,NA,None,Research experience,None,Windows,Yes,I'm almost done with my thesis,"Yes, I've collected my own data",Microsoft Excel,Research assistance,Internet Resources,Know R
2019-2-01,3widaf,Plant Science,Master's,0,None,None,Biostatistics,None,Apple/Mac OS/Unix,Yes,I'm almost done with my thesis,"Yes, I've collected my own data",Microsoft Excel,Research assistance;Coursework assistance;Preparation for graduate school,Peers;Internet Resources,To have an idea of what I can use R for and become a little more comfortable with the language.
2019-2-01,NA,Economics,Master's,0,NA,None,"Intermediate statistics, econometrics","STATA, SAS",Windows,No,Little to No,"Yes, I've helped others collect data",Microsoft Excel,Research assistance;Job market preparation,Peers,Expand my familiarity with R
2019-2-01,2hebea,Ecology,I am a staff member of MSU.,1,Computational Statistics,Python,"Biological Statistics, Experimental Design","Experimental Design, Biological Statistics",Windows,Yes,A few projects,"Yes, I've collected my own data;Yes, I've helped others collect data",Microsoft Excel,Research assistance,Peers;Lab Mates;Adviser;Internet Resources,Elegant methods of data filtering and wrangling
2019-2-01,0ackag,University Studies,Bachelors,5,"Intro to Computer Science, Intro to C, Basic Data Structures and Algorithms, Data Structures and Algorithms, Discrete Structures",Python;Java or Javascript;Other,Only High School Classes,none,Windows,No,Little to No,No,NA,Received an email or saw a flier about the workshop.,NA,Additional information about programming in R so I can tell people I know how to program in R during interviews.
2019-2-01,4rospo,Immunology and Infectious Disease,Doctorate,0,NA,None,stats for biotech,Your introductory course,Windows,Yes,I'm almost done with my thesis,"Yes, I've collected my own data",Microsoft Excel,Research assistance,Peers,To expand on what the first course taught and get into some graphing
2019-2-01,1shcov,Faculty,I am a faculty member of MSU.,4,NA,SQL,"Experiment design, multivariate, PLS, etc","SPSS, Amos, Lisrel",Apple/Mac OS/Unix,Yes,A few projects,"Yes, I've collected my own data;Yes, I've helped others collect data",Other,Received an email or saw a flier about the workshop.,Your basic class,Analyze data
2019-2-01,2rubea,Mathematics/Data Science,Bachelors,1,CSCI 127: Joy and Beauty of Data,Python;SQL,N/A,None,Apple/Mac OS/Unix,No,Little to No,No,NA,Received an email or saw a flier about the workshop.;Preparation for future stat course,NA,How R handles for loops and other such logic tools
2019-2-01,NA,biz,I am a faculty member of MSU.,0,NA,Python;SQL;Other,RESEARCH COURSES HLM SPSS AMOS LISREL STATA,HLM SPSS AMOS LISREL STATA,Apple/Mac OS/Unix;Windows,Yes,A few projects,"Yes, I've collected my own data",Microsoft Excel;Other,Received an email or saw a flier about the workshop.,Course Materials;Internet Resources,R
2019-2-01,0ba3rd,Environmental Science,Bachelors,0,None,SQL,Stat 216 and 217,"Biophysics, Statistics, GIS, Remote Sensing",Apple/Mac OS/Unix,Yes,A few projects,"Yes, I've collected my own data;Yes, I've helped others collect data",Microsoft Excel;On paper,Coursework assistance,Peers;Adviser;Internet Resources,Geospatial analysis in R
2019-2-01,0llswe,Ecology,Doctorate,0,NA,R; Other,Undergrad stats and two postgrad stats courses (in R).,"R, ArcGIS, MARK, ESURGE",Windows,Yes,I'm almost done with my thesis,"Yes, I've collected my own data",Microsoft Excel,Received an email or saw a flier about the workshop.,Adviser;Course Materials;Internet Resources,"Advanced R skills, more syntax to build from."
2019-2-01,1spfla,Earth Sciences,I am a faculty member of MSU.,4,NA,Python;Fortran,Geospatial stats,"Matlab, R",Apple/Mac OS/Unix,Yes,A few projects,"Yes, I've collected my own data",Microsoft Excel;Text file;Other,Received an email or saw a flier about the workshop.,Course Materials;Internet Resources,Improve my abilities to effectively use R. Loops would be great.
2019-2-01,1anso,Snow Science,Master's,0,NA,None,STAT216Q,GIS,Apple/Mac OS/Unix,No,Little to No,"Yes, I've collected my own data",Microsoft Excel;Microsoft Word,Department/Professor recommended,Lab Mates,Work with R
